name,category_code,market_id,market_name,address,lat,lng
진양상회,seafood,173,숭례문수입상가,서울특별시 중구 남대문시장4길 28-12,37.5591653493886,126.976628540349
소문난반찬,sidedish,200,암사종합시장,서울특별시 강동구 상암로11길 17,37.5505470388911,127.128714922418
태진상회,greengrocer,101,경동시장,서울특별시 동대문구 고산자로36길 3,37.5790371332837,127.039147690267
내고향반찬마트,sidedish,8,화곡본동시장,서울특별시 강서구 화곡로32길 14,37.5429362773213,126.843643239212
민속떡집,ricecake,109,목동깨비시장 (목3동시장),서울특별시 양천구 목동중앙북로 19,37.5485315269485,126.86564171848
성우떡방아간,ricecake,151,경창시장,서울특별시 양천구 오목로7길 25,37.5240119001397,126.841114787881
싱싱회마트,seafood,200,암사종합시장,서울특별시 강동구 고덕로10길 68,37.5518169737026,127.129147143974
대림민물고기,seafood,72,구로시장,서울특별시 구로구 구로동로22길 17-17,37.4899423040378,126.885579977134
성남할머니떡집,ricecake,41,신성종합시장(건물형),서울특별시 광진구 영화사로 7,37.5584135486418,127.088697467966
동부손미수산,seafood,186,중랑교종합상가,서울특별시 중랑구 망우로32길 23,37.5929477807347,127.077121031046
대성축산,butcher,141,만리시장,서울특별시 용산구 효창원로 268,37.5510260862843,126.963741398463
현대수산,seafood,36,길동복조리시장,서울특별시 강동구 천중로52길 29,37.5392941096401,127.143857523336
서은이네,greengrocer,68,신도봉시장,서울특별시 도봉구 도당로13라길 128,37.6693246654428,127.040283189691
신앙촌상회,sidedish,36,길동복조리시장,서울특별시 강동구 천중로50길 23,37.5397639191116,127.142794820096
용문부경농산,greengrocer,21,용산용문시장,서울특별시 용산구 효창원로42길 38-14,37.5361043483051,126.960060126251
제일수산,seafood,116,마천시장,서울특별시 송파구 성내천로30길 17-7,37.4984250579544,127.150745253768
채소밭,greengrocer,47,원당종합시장,서울특별시 관악구 인헌4길 17,37.4746846384923,126.965858457742
남대문과일,greengrocer,173,숭례문수입상가,서울특별시 중구 남대문시장4길 28-12,37.5591653493886,126.976628540349
대왕유통,seafood,98,청량리종합시장,서울특별시 동대문구 고산자로38길 32,37.5801359493107,127.04032565698
하림닭,butcher,187,사가정시장,서울특별시 중랑구 면목로44길 10,37.5812264872417,127.089041519363
통큰떡방,ricecake,91,성대시장,서울특별시 동작구 성대로 36,37.4990429411016,126.933176199553
웰빙나라,seafood,14,은행나무시장,서울특별시 금천구 금하로25길 14,37.4511654980318,126.909440240142
은혜떡집,ricecake,119,장위전통시장,서울특별시 성북구 장위로38길 46-1,37.611288087872,127.051034018657
대창,seafood,160,신중부시장,서울특별시 중구 을지로32길 24,37.5657088976857,127.000056594441
월드컵마트정육,butcher,87,망원동월드컵시장,서울특별시 마포구 월드컵로25길 26,37.558526814137,126.906299931095
동성식품,seafood,64,창동신창시장,서울특별시 도봉구 덕릉로57길 19,37.639512148526,127.037264617679
남도반찬,sidedish,152,신영시장,서울특별시 양천구 곰달래로13길 37,37.5329783008376,126.835585885508
진영중국식품,sidedish,70,비단길현대시장,서울특별시 금천구 독산로32길 12,37.4572988233832,126.906143810151
진주과일,greengrocer,193,우림골목시장,서울특별시 중랑구 망우로62길 44,37.597202928809,127.09807418188
오복나물반찬,sidedish,152,신영시장,서울특별시 양천구 곰달래로13길 28,37.5322586028037,126.836379432709
신랑각시,seafood,130,광장시장,서울특별시 종로구 창경궁로 88,37.570114766493,126.999705691574
청하중국식품,sidedish,33,고분다리전통시장,서울특별시 강동구 구천면로34길 35,37.5425412065019,127.133193362459
총각네,seafood,88,마포시장,서울특별시 마포구 만리재로 23,37.5448057053008,126.953752625102
실리수산,seafood,41,신성종합시장(건물형),서울특별시 광진구 영화사로 8,37.5582876891684,127.088323832633
궁중떡방아간,ricecake,70,비단길현대시장,서울특별시 금천구 독산로39길 23,37.4585046186158,126.904198237705
형제떡방아간,ricecake,8,화곡본동시장,서울특별시 강서구 초록마을로2길 42,37.5434138652085,126.843687503829
피오니,flower,127,남부종합시장,서울특별시 서초구 방배중앙로27길 17,37.4949973251106,126.984813077027
풍년떡방아간,ricecake,8,화곡본동시장,서울특별시 강서구 화곡로32길 14,37.5429362773213,126.843643239212
청량리야채,greengrocer,186,중랑교종합상가,서울특별시 중랑구 중랑천로10길 49,37.5923179087221,127.075852214662
천원집,greengrocer,31,수유재래시장,서울특별시 강북구 수유로12길 81,37.6315331965605,127.022295204317
부흥축산,butcher,141,만리시장,서울특별시 용산구 효창원로 270,37.5513324117351,126.963695983216
정림축산,butcher,116,마천시장,서울특별시 송파구 마천로45길 31,37.4984337357999,127.151005371673
송림반찬,sidedish,71,별빛남문시장,서울특별시 금천구 시흥대로148길 36,37.4749182208639,126.900785737511
오복떡집,ricecake,17,둔촌역전통시장,서울특별시 강동구 양재대로91길 17,37.5278708863627,127.134988692467
신구로상회,sidedish,72,구로시장,서울특별시 구로구 구로동로22길 16,37.4893923943694,126.885275517281
행복유통,greengrocer,102,경동광성상가,서울특별시 동대문구 고산자로 464,37.5809924017088,127.038809078
반찬천국,sidedish,109,목동깨비시장 (목3동시장),서울특별시 양천구 목동중앙북로 16,37.5483149010773,126.865302619826
명희네젓갈,sidedish,78,화양제일골목시장,서울특별시 광진구 아차산로29길 55,37.5433259194871,127.069092458967
조은유통야채,greengrocer,47,원당종합시장,서울특별시 관악구 인헌길 38,37.4738379056091,126.966616279146
쌍둥이반찬,sidedish,188,면목골목시장,서울특별시 중랑구 사가정로50길 86,37.5773376235827,127.084372782744
빨강오뎅,sidedish,64,창동신창시장,서울특별시 도봉구 덕릉로57길 38,37.6401069899866,127.036653085867
꿀떡방,ricecake,199,공릉동도깨비시장,서울특별시 노원구 동일로178길 59-39,37.6227972203473,127.07763894078
예당떡방,ricecake,134,신응암시장,서울특별시 은평구 응암로22길 3-1,37.5939090370827,126.918699732705
중국식품,sidedish,43,능동로골목시장,서울특별시 광진구 뚝섬로30길 9,37.5356150105802,127.06621150293
고향의맛,sidedish,117,정릉시장,서울특별시 성북구 보국문로11길 8,37.6085957685147,127.009547298789
